State,District,Contractor,Contract/Mod Number,NASA Center,Place of Performance,Award Date,Completion Date,Award Type,Contractor Type - Indicators,Obligations,Change in Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description
MD,MD-05,GLOBAL SCIENCE & TECH INC,NNG04HN08D Modification 13,GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/30/2006,02/28/2006,"Asian Pacific American Owned Business,Minority Owned,Small Business,Small Disadvantaged Business,, Firm Fixed Price","Small Disadvantaged Business,Small Business - ",317772,317772,541512,N/A,N/A,EOSDIS INFORMATION MANAGEMENT SUBSYSTEM SUPPORT
MD,MD-05,INDUS CORPORATION,GSFC0200204DNAS502038 Modification 62,GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/30/2006,02/28/2007,"Minority Owned,Sub Continent Asian American Owned Business,, Cost Plus Award Fee","Small Disadvantaged Business,Small Business - ",1686252,0,541519,N/A,N/A,BUSINESS APPLICATIONS AND SUSTAINING ENGINEERING SERVICES
MD,MD-07,UNIVERSITY OF MARYLAND BALTIMORE,NNJ06HD31G Modification 9,JSC - Johnson Space Flight Center,"BALTIMORE, MD (District 07)",01/30/2006,05/31/2011,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,0,0,[None Indicated],N/A,N/A,MITIGATING HIGH Z RADIATION INDUCED GENOMIC INSTABILITY BY NON-PROTEIN THIOLS
MD,MD-05,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,GSFC0200008DNAS500167 Modification 76,GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/31/2006,02/06/2006,"[No Vendor Indicators Found], Cost Plus Award Fee",Other Than Small Business - ,-458110,0,541330,N/A,N/A,DATA ASSIMILATION & SOUNDER RESEARCH SUPPORT
MD,,SCIENCE SYSTEMS AND APPLICATIO,GSFC0200003DNAS500119 Modification 81,GSFC - Goddard Space Flight Center,"UNITED STATES, MD",01/31/2006,01/31/2006,"SBA Certified Small Disadvantaged Business,Self Certified Small Disadvantaged Business,Women Owned,, Cost Plus Incentive Fee","Small Disadvantaged Business,Woman Owned Small Business,Small Business - ",-62711,0,541710,N/A,N/A,"SUPPORT TO CODE 913, CLIMATE & RADIATION BRANCH "
MD,MD-03,JOHNS HOPKINS UNIV,NAG513491 Modification 5,GSFC - Goddard Space Flight Center,"Laurel, MD (District 03)",01/31/2006,04/30/2007,"Educational Institution,Nonprofit Organization,, Grant For Research",Educational - ,0,0,[None Indicated],N/A,N/A,STORM-TIME RING CURRENT:  DEVELOPMENT OF A NEW STO RM INDEX AND ITS      PREDICITION
MD,MD-04,INTELLIGENT AUTOMATION INCORPORATED,NNA06BA03C Modification 0 (Base Record),ARC - Ames Research Center,"DERWOOD, MD (District 04)",01/31/2006,01/31/2008,"Small Business,Women Owned,, Firm Fixed Price","Woman Owned Small Business,Small Business - ",0,0,541710,N/A,N/A,AUTONOMOUS COLLABORATIVE AGENTS FOR ONBOARD MULTI-SENSOR RE-TARGETING
MD,MD-05,MELWOOD HORTICULTUR TRAIN CTR,NNG04AZ14C Modification 13,GSFC - Goddard Space Flight Center,"Greenbelt, MD (District 05)",01/31/2006,07/31/2009,"Nonprofit Organization,Sheltered Workshop,, Firm Fixed Price",Non-Profit Institutions - ,1230,0,561730,N/A,N/A,LANDSCAPING AND GRASS CUTTING SERVICES FOR GSFC
MD,MD-05,LOCKHEED MARTIN GOVERNMENT SERVICES,C71671T Modification 17,GRC - Glenn Research Center,"LANHAM, MD (District 05)",01/31/2006,06/30/2007,"[No Vendor Indicators Found], Firm Fixed Price",Other Than Small Business - ,1967,0,541511,N/A,N/A,CHANGE TO TASK 1
MD,MD-04,SIGMA SPACE CORPORATION,NNG06HR47P Modification 0 (Base Record),GSFC - Goddard Space Flight Center,"Lanham, MD (District 04)",01/31/2006,12/31/2006,"Hispanic American Owned Business,Minority Owned,SBA Certified 8A Program Participant,Small Business,Small Disadvantaged Business,, Firm Fixed Price","Small Disadvantaged Business,Small Business - ",5000,5000,[None Indicated],N/A,N/A,MECHANICAL SUPPORT TO GEOSPEC
